timestamp,"{""InfraID"":""Edge-Pi4"",""instance"":""129.127.231.168:9100"",""job"":""node"",""label"":""Free Memory Percentage""}","{""InfraID"":""two-cluster"",""instance"":""129.127.231.125:9100"",""job"":""node"",""label"":""Free Memory Percentage""}"
1618972285.333,85.82548683655986,86.03978370302944
1618972290.333,85.82548683655986,86.03978370302944
1618972295.333,85.82548683655986,86.03978370302944
1618972300.333,85.82528274430608,86.03978370302944
1618972305.333,85.82528274430608,86.03978370302944
1618972310.333,85.82528274430608,86.03978370302944
1618972315.333,85.82528274430608,86.03978370302944
1618972320.333,85.82528274430608,86.03978370302944
1618972325.333,85.82528274430608,86.03978370302944
1618972330.333,85.82528274430608,86.03978370302944
1618972335.333,85.82528274430608,86.03978370302944
1618972340.333,85.82528274430608,86.03978370302944
1618972345.333,85.82528274430608,86.03978370302944
